Debt,BankCustomer,YearsEmployed,Employed,CreditScore,Income,Approved,,,,
2.04,0,0.125,1,23,1236,1,,,,
4.25,1,6.5,1,16,1210,1,,,,
11.25,1,2.5,1,17,1208,1,,,,
21.5,1,20,1,11,1200,1,,,,
6.5,1,3.125,1,8,1200,1,,,,
2.125,0,0.085,1,1,1187,1,,,,
6,1,1.29,1,5,1097,1,,,,
1.5,0,0.375,0,0,1065,1,,,,
14.5,1,18,1,15,1000,1,,,,
5.5,1,5.5,1,12,1000,1,,,,
20,1,17.5,1,9,1000,1,,,,
5,1,7.5,1,6,1000,1,,,,
0.54,0,0.5,1,3,1000,1,,,,
4,0,1.75,1,2,1000,1,,,,
4,1,0,0,0,960,1,,,,
0.42,1,0.21,1,6,948,1,,,,
6,1,2.5,1,3,918,1,,,,
0.75,1,2.75,1,1,892,1,,,,
1.75,1,4.5,1,4,857,1,,,,
10,1,1.75,0,0,837,1,,,,
1.665,1,5.085,1,9,827,1,,,,
0.5,1,1.5,0,0,824,1,,,,
11,1,2.5,1,7,809,1,,,,
3,1,1.29,1,1,800,1,,,,
7.625,1,15.5,1,12,790,1,,,,
0.125,1,1,1,1,768,1,,,,
11.5,1,3.5,1,9,742,1,,,,
16.165,1,3,1,9,730,1,,,,
1.585,1,1.835,1,12,713,1,,,,
0.75,1,1.75,1,5,690,1,,,,
0.5,1,1.25,1,1,678,1,,,,
3.25,1,9,0,0,639,1,,,,
4.25,1,3.25,1,2,610,1,,,,
2.75,1,2.25,1,6,600,1,,,,
9.5,1,1.625,1,6,600,1,,,,
0.96,1,2.5,0,0,600,1,,,,
9,1,0.75,1,2,591,1,,,,
1.5,1,2.375,1,3,582,1,,,,
12.5,1,1.5,1,12,567,1,,,,
4.46,1,3.04,1,6,560,1,,,,
10.75,1,0.415,1,5,560,1,,,,
2.04,0,2,1,3,560,1,,,,
11.75,1,0.5,1,2,551,1,,,,
0.5,1,1.75,1,11,540,1,,,,
9.25,1,1.21,1,4,540,1,,,,
3,1,1.835,1,19,500,1,,,,
5.29,1,2.25,1,5,500,1,,,,
9.25,0,1,1,4,500,1,,,,
0.46,1,0.54,1,4,500,1,,,,
0.585,0,0.25,1,2,500,1,,,,
6.5,1,3.5,1,1,500,1,,,,
25.125,1,1.625,1,1,500,1,,,,
13.75,1,5.75,0,0,500,1,,,,
12.33,1,3.5,1,6,458,1,,,,
1,1,2,1,11,456,1,,,,
12.75,1,4.75,1,2,444,1,,,,
0.79,0,1.5,1,2,400,1,,,,
9.5,1,1,0,0,400,1,,,,
10.04,1,0.04,1,9,396,1,,,,
0.29,0,1.75,1,8,375,1,,,,
5,1,2.5,1,6,367,1,,,,
1.5,1,1.875,1,6,327,1,,,,
11.25,0,0.75,1,4,321,1,,,,
0.5,0,3.96,0,0,314,1,,,,
9.415,1,14.415,1,11,300,1,,,,
4.46,1,6.04,1,3,300,1,,,,
2,1,1.5,1,2,300,1,,,,
4.79,0,2.25,1,1,300,1,,,,
6.21,1,0.04,1,1,300,1,,,,
1,1,2.25,0,0,300,1,,,,
11.625,0,0.835,0,0,300,1,,,,
6.75,1,2.625,1,11,284,1,,,,
11.5,1,2.125,1,11,284,1,,,,
11,1,2,1,1,278,1,,,,
12.5,1,1.21,1,67,258,1,,,,
16,1,0,1,15,247,1,,,,
5.875,1,3.17,1,10,245,1,,,,
7.5,1,1.5,1,1,234,1,,,,
9.17,1,4.5,1,12,221,1,,,,
1.835,1,4.335,0,0,200,1,,,,
1.5,1,1.415,0,0,200,1,,,,
2.5,1,0,0,0,200,1,,,,
10.125,1,2.5,1,6,196,1,,,,
9.335,1,5.665,1,6,168,1,,,,
0.375,0,0.375,1,8,162,1,,,,
8.17,1,1.96,1,14,158,1,,,,
0.75,1,4.25,1,3,150,1,,,,
1.835,1,2.25,1,1,150,1,,,,
8.665,1,1.415,0,0,150,1,,,,
15,1,5.375,1,9,134,1,,,,
0.125,0,1.5,0,0,113,1,,,,
22.29,1,12.75,1,1,109,1,,,,
1.415,1,0.75,1,1,100,1,,,,
0.165,1,0,1,1,100,1,,,,
0.21,1,0.29,1,11,99,1,,,,
5,1,4,1,4,99,1,,,,
0.54,0,0.04,1,1,59,1,,,,
2.75,1,1.75,1,5,58,1,,,,
10.335,1,0.335,1,1,50,1,,,,
0.375,1,0.375,0,0,44,1,,,,
0.165,1,0.21,0,0,40,1,,,,
1.5,1,2,1,11,35,1,,,,
9.25,1,1.665,1,3,28,1,,,,
0.75,1,0.25,0,0,23,1,,,,
1.71,1,1.665,1,1,20,1,,,,
12,1,2,1,1,19,1,,,,
28,0,28.5,1,40,15,1,,,,
2,1,1.75,1,2,15,1,,,,
25.085,1,1.75,1,3,14,1,,,,
14.5,1,3.085,1,1,11,1,,,,
1.5,1,1.5,0,0,8,1,,,,
5.04,0,1.5,1,8,7,1,,,,
5.125,1,4.75,1,2,7,1,,,,
0.46,1,0.415,1,11,6,1,,,,
3,1,0.165,1,3,6,1,,,,
5.25,1,0.085,0,0,6,1,,,,
1.54,1,3.75,1,5,3,1,,,,
3,0,1.085,1,8,1,1,,,,
0,0,0,0,0,1,1,,,,
18.5,1,15,1,17,0,1,,,,
5.875,1,10,1,14,0,1,,,,
6.5,1,4.25,1,12,0,1,,,,
3,1,6,1,11,0,1,,,,
11.5,0,0,1,11,0,1,,,,
5,1,3.5,1,10,0,1,,,,
4.415,0,0.25,1,10,0,1,,,,
15,1,8.5,1,9,0,1,,,,
13,1,5.165,1,9,0,1,,,,
3.75,1,0.625,1,9,0,1,,,,
9.79,1,7.96,1,8,0,1,,,,
4.04,1,7,1,8,0,1,,,,
11,1,20,1,7,0,1,,,,
4.04,0,8.5,1,7,0,1,,,,
10.5,1,5,1,7,0,1,,,,
8.585,1,0.75,1,7,0,1,,,,
13.915,1,8.625,1,6,0,1,,,,
5,1,5,1,6,0,1,,,,
2.75,1,4.25,1,6,0,1,,,,
1.585,0,3.085,1,6,0,1,,,,
11,1,0.29,1,6,0,1,,,,
9.625,1,8.665,1,5,0,1,,,,
9,1,8.5,1,5,0,1,,,,
14.79,1,5.04,1,5,0,1,,,,
0.5,1,1.46,1,5,0,1,,,,
1.71,1,0.125,1,5,0,1,,,,
12.25,1,1.25,1,4,0,1,,,,
0.375,1,0.585,1,4,0,1,,,,
2.335,1,0.5,1,4,0,1,,,,
6.665,1,7.375,1,3,0,1,,,,
8.5,1,7,1,3,0,1,,,,
1.5,1,5.5,1,3,0,1,,,,
3.165,0,3.165,1,3,0,1,,,,
12.54,1,2.29,1,3,0,1,,,,
6,1,1,1,3,0,1,,,,
0.875,1,0.96,1,3,0,1,,,,
6.5,1,0.5,1,3,0,1,,,,
4.5,1,7.5,1,2,0,1,,,,
2,1,4.165,1,2,0,1,,,,
0.375,1,2,1,2,0,1,,,,
4.625,1,1.625,1,2,0,1,,,,
0.585,1,1.5,1,2,0,1,,,,
10.25,1,0.71,1,2,0,1,,,,
5.5,1,13,1,1,0,1,,,,
2.71,0,5.25,1,1,0,1,,,,
4.25,1,4.29,1,1,0,1,,,,
3.04,0,2.54,1,1,0,1,,,,
0.835,1,1.585,1,1,0,1,,,,
0,1,1.25,1,1,0,1,,,,
3.75,1,1.085,1,1,0,1,,,,
11.125,1,0.46,1,1,0,1,,,,
0.04,1,0.04,1,1,0,1,,,,
12,1,16,0,0,0,1,,,,
0,1,15,0,0,0,1,,,,
5.04,1,12.75,0,0,0,1,,,,
5,1,11,0,0,0,1,,,,
0.375,1,10,0,0,0,1,,,,
13.585,1,8.5,0,0,0,1,,,,
3,1,7.415,0,0,0,1,,,,
10.5,1,6.5,0,0,0,1,,,,
11.835,1,6,0,0,0,1,,,,
6.5,1,6,0,0,0,1,,,,
4.5,1,5.75,0,0,0,1,,,,
6.625,0,5.5,0,0,0,1,,,,
9,0,5.25,0,0,0,1,,,,
0.205,1,5.125,0,0,0,1,,,,
0.5,1,5,0,0,0,1,,,,
4.625,1,4.58,0,0,0,1,,,,
3.5,1,3.5,0,0,0,1,,,,
1.54,1,3.5,0,0,0,1,,,,
12.5,1,3,0,0,0,1,,,,
10.5,1,3,0,0,0,1,,,,
4.415,0,3,0,0,0,1,,,,
2.54,0,2.585,0,0,0,1,,,,
10,0,2.5,0,0,0,1,,,,
4,1,2.5,0,0,0,1,,,,
0,1,2.5,0,0,0,1,,,,
8.46,0,2.46,0,0,0,1,,,,
0.165,1,2.25,0,0,0,1,,,,
0.83,1,2.165,0,0,0,1,,,,
1,1,1.75,0,0,0,1,,,,
5.625,1,1.71,0,0,0,1,,,,
12.335,1,1.585,0,0,0,1,,,,
1.125,0,1.5,0,0,0,1,,,,
9,1,1.375,0,0,0,1,,,,
10.5,1,1.335,0,0,0,1,,,,
6,1,1,0,0,0,1,,,,
2.875,1,0.875,0,0,0,1,,,,
0.5,1,0.875,0,0,0,1,,,,
3.5,1,0.835,0,0,0,1,,,,
1,1,0.835,0,0,0,1,,,,
11,1,0.665,0,0,0,1,,,,
0.25,1,0.665,0,0,0,1,,,,
5.5,1,0.5,0,0,0,1,,,,
4,1,0.25,0,0,0,1,,,,
2.54,0,0.25,0,0,0,1,,,,
0.665,1,0.165,0,0,0,1,,,,
5.5,1,0.125,0,0,0,1,,,,
4.25,1,0.125,0,0,0,1,,,,
1.54,1,0.125,0,0,0,1,,,,
9.54,1,0.085,0,0,0,1,,,,
0.21,1,0.085,0,0,0,1,,,,
0,1,0.085,0,0,0,1,,,,
3,1,0.04,0,0,0,1,,,,
1.75,0,0.04,0,0,0,1,,,,
0.04,1,0.04,0,0,0,1,,,,
17.75,1,0,0,0,0,1,,,,
9.96,1,0,0,0,0,1,,,,
0.25,1,0,0,0,0,1,,,,
0,1,0,0,0,0,1,,,,
0,1,0,0,0,0,1,,,,
0,1,0,0,0,0,1,,,,
0,1,0,0,0,0,1,,,,
