Debt,BankCustomer,YearsEmployed,Employed,CreditScore,Income,Approved
5,1,11,0,2,0,1
5.04,0,1.5,1,8,7,1
5.04,1,12.75,0,2,0,1
5.125,1,5,0,3,4000,1
5.125,1,4.75,1,3,7,1
5.25,1,0.085,0,2,6,1
5.29,1,2.25,1,5,500,1
5.5,1,13,1,3,1500,1
5.5,1,5.5,1,12,1000,1
5.5,1,0.5,0,2,0,1
5.5,1,0.125,0,1,0,1
5.625,1,1.71,0,2,0,1
5.665,1,2.585,1,7,3257,1
5.875,1,10,1,14,1500,1
5.875,1,3.17,1,10,245,1
6,1,1,1,3,1500,1
6,1,1.29,1,5,1097,1
6,1,2.5,1,3,918,1
6,1,1,0,2,0,1
6.04,1,0.04,0,3,2690,1
6.21,1,0.04,1,3,300,1
6.5,1,6.29,1,15,11202,1
6.5,1,4,1,7,3065,1
6.5,1,1.46,1,7,2954,1
6.5,1,4.25,1,12,1500,1
6.5,1,0.5,1,3,1500,1
6.5,1,3.125,1,8,1200,1
6.5,1,3.5,1,3,500,1
6.5,1,6,0,2,0,1
6.625,0,5.5,0,2,0,1
6.665,1,7.375,1,3,1500,1
6.75,1,2.625,1,11,284,1
7,1,1.625,1,3,1391,1
7.04,1,14,1,6,1332,1
7.5,1,2.71,1,5,26726,1
7.5,1,1.415,1,3,9800,1
7.5,1,1.5,1,3,234,1
7.54,0,8,1,14,2300,1
7.585,1,7.585,1,15,5000,1
7.625,1,15.5,1,12,790,1
8,1,6.5,1,6,51100,1
8,1,7.875,1,6,1260,1
8.17,1,1.96,1,14,158,1
8.46,0,2.46,0,2,0,1
8.5,1,14,1,3,2000,1
8.5,1,7,1,3,1890,1
8.5,1,12.5,1,9,1655,1
8.585,1,0.75,1,7,1290,1
8.665,1,1.415,0,2,150,1
9,1,0.75,1,3,591,1
9,1,8.5,1,5,500,1
9,0,5.25,0,2,0,1
9,1,1.375,0,2,0,1
9.17,1,4.5,1,12,221,1
9.25,1,1.21,1,4,540,1
9.25,0,1,1,4,500,1
9.25,1,1.665,1,3,28,1
9.335,1,5.665,1,6,168,1
9.415,1,14.415,1,11,300,1
9.5,1,6.5,1,14,4607,1
9.5,1,1.5,0,3,2206,1
9.5,1,1.625,1,6,600,1
9.5,1,1,0,3,400,1
9.54,1,0.085,0,1,0,1
9.625,1,8.665,1,5,300,1
9.79,1,7.96,1,8,450,1
9.96,1,0,0,1,0,1
10,1,4,1,14,1602,1
10,1,1,1,4,1465,1
10,1,0,1,11,1249,1
10,1,1.75,0,3,837,1
10,0,2.5,0,2,0,1
10.04,1,0.04,1,9,396,1
10.125,1,2.5,1,6,196,1
10.25,1,0.71,1,3,7800,1
10.335,1,0.335,1,3,50,1
10.5,1,5,1,7,4500,1
10.5,1,6.5,0,2,0,1
10.5,1,3,0,2,0,1
10.5,1,1.335,0,2,0,1
10.75,1,0.415,1,5,560,1
11,1,1,1,11,3000,1
11,1,20,1,7,1300,1
11,1,2.5,1,7,809,1
11,1,0.29,1,6,600,1
11,1,2,1,3,278,1
11,1,0.665,0,2,0,1
11.125,1,0.46,1,3,400,1
11.25,1,0,0,0,5200,1
11.25,1,2.5,1,17,1208,1
11.25,0,0.75,1,4,321,1
11.5,1,5,1,5,8851,1
11.5,0,0,1,11,5000,1
11.5,1,3.5,1,9,742,1
11.5,1,2.125,1,11,284,1
11.585,1,0.04,0,3,1349,1
11.625,0,0.835,0,2,300,1
11.75,1,0.5,1,3,551,1
11.835,1,6,0,2,0,1
12,1,14,1,8,6590,1
12,1,2,1,3,19,1
12,1,16,0,2,0,1
12.25,1,1.25,1,4,2000,1
12.33,1,3.5,1,6,458,1
12.335,1,1.585,0,2,0,1
12.5,1,8,0,3,2028,1
12.5,1,1.5,1,12,567,1
12.5,1,1.21,1,67,258,1
12.5,1,3,0,2,0,1
12.54,1,2.29,1,3,1200,1
12.75,1,4.75,1,3,444,1
13,1,5.165,1,9,8500,1
13.5,1,5,1,3,5000,1
13.585,1,8.5,0,2,0,1
13.75,1,5.75,0,3,500,1
13.915,1,8.625,1,6,1700,1
14,1,0,1,11,1400,1
14.5,1,18,1,15,1000,1
14.5,1,3.085,1,3,11,1
14.79,1,5.04,1,5,3500,1
15,0,0,0,3,13212,1
15,1,0,1,14,3376,1
15,1,5.335,1,11,2283,1
15,1,5.5,1,14,2200,1
15,1,8.5,1,9,1200,1
15,1,5.375,1,9,134,1
16,1,0,1,15,247,1
16.165,1,3,1,9,730,1
16.5,1,11,0,3,10561,1
17.75,1,0,0,1,11000,1
18.5,1,15,1,17,9000,1
19.5,1,7,1,16,5000,1
19.5,1,5.5,1,7,3000,1
20,1,17.5,1,9,1000,1
21,1,10,1,13,6700,1
21.5,1,20,1,11,1200,1
22,1,0,0,7,100000,1
22.29,1,12.75,1,8,1500,1
25.085,1,5.75,1,10,87000,1
25.125,1,7.625,1,13,67000,1
28,0,28.5,1,40,1500,1
0,0,0,1,2,1,0
0,1,0.665,0,0,1,0
0,1,1,0,2,0,0
0,1,0.5,0,0,0,0
0,1,0.5,0,0,0,0
0,0,0.25,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0.04,0,4.25,0,0,0,0
0.04,0,0.04,0,0,0,0
0.085,0,0.04,0,0,722,0
0.125,0,0.085,0,0,2100,0
0.125,0,0.125,0,0,70,0
0.125,1,0.165,0,0,0,0
0.165,1,0,0,0,27,0
0.165,1,1,1,1,1,0
0.165,1,0.25,0,0,0,0
0.165,1,0.04,0,0,0,0
0.17,1,0.085,0,0,0,0
0.205,1,0.04,0,0,750,0
0.21,1,0.125,0,0,1,0
0.25,0,0.25,0,0,204,0
0.25,1,0.335,1,2,8,0
0.25,1,4,0,0,0,0
0.25,1,0.125,0,0,0,0
0.29,1,0.29,0,0,364,0
0.29,1,0.125,1,1,108,0
0.29,1,0,1,2,18,0
0.29,0,1.5,0,0,0,0
0.335,1,1,0,0,2197,0
0.335,1,0,1,1,126,0
0.335,1,3.5,0,0,0,0
0.335,1,0.75,0,0,0,0
0.335,0,0.29,0,0,0,0
0.335,0,0.085,0,0,0,0
0.375,1,0.29,0,0,140,0
0.375,1,1,0,0,18,0
0.375,1,0.875,0,0,0,0
0.415,1,0.125,0,0,44,0
0.415,0,0.04,1,1,6,0
0.415,0,0.165,1,1,1,0
0.415,1,0.335,0,0,0,0
0.42,0,0.29,0,0,2,0
0.46,0,2.625,1,2,347,0
0.46,1,0.125,0,0,55,0
0.5,1,0.165,1,3,35,0
0.5,1,10.75,0,0,0,0
0.5,0,1,0,0,0,0
0.5,1,0.835,0,0,0,0
0.5,0,0.5,0,0,0,0
0.5,1,0.25,0,0,0,0
0.5,1,0.125,0,0,0,0
0.5,1,0.085,0,0,0,0
0.54,1,0.165,1,1,444,0
0.54,1,1.75,1,1,5,0
0.54,1,1,0,0,1,0
0.54,1,0.585,0,1,0,0
0.54,1,0,0,0,0,0
0.58,1,0.29,1,1,2803,0
0.585,1,0.04,0,0,1004,0
0.585,1,0,1,2,769,0
0.585,0,0.125,0,0,87,0
0.585,0,0.125,0,0,1,0
0.585,0,0.585,0,0,0,0
0.585,1,0.085,0,0,0,0
0.585,1,0,0,0,0,0
0.585,0,0,0,0,0,0
0.625,1,0.25,0,0,2010,0
0.625,0,0.125,0,0,1,0
0.625,1,0.455,0,0,0,0
0.665,1,1.665,0,0,5,0
0.665,0,1,1,1,2,0
0.665,1,0.25,0,0,0,0
0.67,1,1.75,0,0,0,0
0.705,1,0.375,1,1,500,0
0.71,1,0.25,1,1,4,0
0.75,1,2,1,1,394,0
0.75,1,0.165,0,0,251,0
0.75,1,1.585,1,1,9,0
0.75,1,0.795,1,2,5,0
0.75,0,0.585,0,0,3,0
0.75,0,0.75,0,0,2,0
0.75,1,1,0,1,0,0
0.75,0,3.5,0,0,0,0
0.75,1,1.5,0,0,0,0
0.75,1,0.5,0,0,0,0
0.75,1,0.5,0,0,0,0
0.75,0,0.04,0,0,0,0
0.79,1,0.29,1,1,283,0
0.79,0,0.665,0,0,0,0
0.79,1,0.085,0,0,0,0
0.83,1,0.415,1,1,11,0
0.835,1,0.5,0,0,117,0
0.835,1,0.085,0,0,5,0
0.835,1,0.04,0,0,5,0
0.835,1,0,0,0,1,0
0.835,0,2,0,0,0,0
0.835,1,1.165,0,0,0,0
0.835,1,0.085,0,0,0,0
0.875,1,0.085,1,2,1950,0
0.875,0,0.25,0,0,204,0
0.875,1,0.375,1,1,3,0
1,0,3,0,0,537,0
1,1,1,1,1,500,0
1,1,0.5,0,0,0,0
1,1,0.5,0,0,0,0
1,1,0.125,0,0,0,0
1.04,1,0.665,0,0,237,0
1.04,0,0.5,1,1,147,0
1.04,0,0.5,1,2,28,0
1.08,1,1.165,0,0,0,0
1.085,0,0.04,0,0,179,0
1.085,0,1,0,0,13,0
1.085,1,1.5,0,0,7,0
1.125,1,0,1,1,19,0
1.125,1,1.29,0,2,0,0
1.165,0,2.5,1,1,20,0
1.165,1,0.5,0,0,0,0
1.21,0,0,0,0,0,0
1.25,1,0.25,0,0,809,0
1.25,1,0,1,1,300,0
1.25,0,1.375,1,1,210,0
1.25,0,0.25,0,0,195,0
1.25,1,13.875,1,1,112,0
1.25,1,0.25,1,1,108,0
1.25,1,0.25,1,1,98,0
1.25,0,0.125,0,0,4,0
1.25,0,3.25,0,0,0,0
1.25,1,1.75,0,0,0,0
1.25,1,1.165,0,0,0,0
1.25,0,0.5,0,0,0,0
1.25,1,0.25,0,0,0,0
1.25,0,0.25,0,0,0,0
1.25,1,0,0,0,0,0
1.25,1,0,0,0,0,0
1.29,1,0.25,0,0,0,0
1.335,1,0.125,0,0,4500,0
1.335,1,0.335,0,0,120,0
1.335,1,0.165,0,0,0,0
1.375,0,9.46,0,0,100,0
1.375,1,0.04,1,1,33,0
1.5,1,3.75,0,0,350,0
1.5,0,1.5,0,0,225,0
1.5,1,0.25,0,0,122,0
1.5,1,0,1,1,105,0
1.5,0,0.54,0,0,67,0
1.5,1,0,0,0,27,0
1.5,0,2,0,0,20,0
1.5,1,2.25,1,1,3,0
1.5,1,2.5,0,0,0,0
1.5,1,2,0,0,0,0
1.5,1,0.875,0,0,0,0
1.5,0,0.04,0,0,0,0
1.5,1,0,0,0,0,0
1.5,1,0,0,0,0,0
1.54,1,0.125,0,0,0,0
1.54,1,0.085,0,0,0,0
1.585,1,0.585,0,0,0,0
1.585,0,0,0,0,0,0
1.625,1,1.5,0,0,316,0
1.625,1,0.54,0,0,0,0
1.665,1,0.25,0,0,390,0
1.665,1,0,0,0,1,0
1.665,1,2.415,0,0,0,0
1.71,0,0.165,0,0,0,0
1.75,0,0.25,0,0,400,0
1.75,0,2.335,0,0,6,0
1.75,1,0.5,0,0,2,0
1.75,0,0,0,0,1,0
1.75,0,1.25,0,0,0,0
1.75,1,0.25,0,0,0,0
1.75,1,0.21,0,0,0,0
1.75,0,0.165,0,0,0,0
1.75,0,0,0,0,0,0
1.79,1,0.54,0,0,1,0
1.835,1,0,1,1,53,0
2,1,0.165,1,1,1300,0
2,0,2,0,0,17,0
2,1,6.5,1,1,10,0
2,1,0,0,0,1,0
2,1,0.75,0,0,0,0
2,1,0.25,0,0,0,0
2.04,1,0.25,0,0,50,0
2.04,0,1.5,0,0,1,0
2.04,0,0.04,0,0,1,0
2.085,1,2.75,0,0,1,0
2.085,1,0.085,0,0,0,0
2.165,1,1.5,0,0,0,0
2.165,0,0,0,0,0,0
2.21,0,4,0,0,0,0
2.25,1,0.5,0,0,4000,0
2.25,0,3.5,0,0,141,0
2.25,1,0.125,0,0,10,0
2.25,0,10,0,0,0,0
2.25,1,0.75,0,0,0,0
2.29,1,0.29,0,0,3,0
2.335,1,5.75,0,0,0,0
2.335,1,0.75,0,0,0,0
2.415,1,0.125,1,1,1,0
2.415,0,0,0,0,0,0
2.46,1,0.96,1,1,587,0
2.5,1,0.085,0,0,4208,0
2.5,0,4.5,0,0,456,0
2.5,1,0.21,0,0,246,0
2.5,1,1,0,0,16,0
2.5,0,2.5,0,0,2,0
2.5,1,1.75,0,2,0,0
2.5,0,10,0,0,0,0
2.5,1,7.5,0,0,0,0
2.5,0,7,0,0,0,0
2.5,0,3,0,0,0,0
2.5,1,2.25,0,0,0,0
2.5,1,1.25,0,0,0,0
2.5,1,1,0,0,0,0
2.5,1,0.5,0,0,0,0
2.54,1,0,0,0,1000,0
2.54,0,0,0,0,60,0
2.665,1,0.165,0,0,501,0
2.71,1,2.415,0,0,0,0
2.71,0,0.125,0,0,0,0
2.71,0,0.085,0,0,0,0
2.75,1,2.5,0,0,200,0
2.75,1,4.5,0,0,25,0
2.75,1,0.665,1,1,21,0
2.75,1,0,0,0,0,0
2.835,1,0,1,2,146,0
2.875,1,0.085,0,0,0,0
3,1,1,0,0,200,0
3,1,0.75,0,0,67,0
3,1,0.04,0,0,40,0
3,1,1.25,1,1,22,0
3,0,0,0,0,20,0
3,1,2.79,1,1,10,0
3,0,1.5,0,0,4,0
3,0,7,0,0,1,0
3,0,2,0,0,0,0
3,1,0.165,0,0,0,0
3.085,1,2.5,1,1,41,0
3.125,1,0.085,1,1,6,0
3.125,1,3.04,1,1,4,0
3.165,0,0.165,0,0,1058,0
3.165,0,0.415,1,1,80,0
3.165,1,3.75,0,0,0,0
3.25,1,2.29,1,1,21,0
3.25,0,5.085,1,1,1,0
3.29,1,0.335,0,0,2,0
3.29,1,3.5,0,0,0,0
3.375,1,8.29,0,0,0,0
3.5,1,3.5,0,1,0,0
3.5,1,3,0,0,0,0
3.5,1,0.5,0,0,0,0
3.5,1,0.5,0,0,0,0
3.5,1,0.165,0,0,0,0
3.54,0,0,0,0,1,0
3.54,1,0.5,0,0,0,0
3.625,1,0.25,0,0,0,0
3.75,1,0,1,2,200,0
3.75,1,0.25,1,1,154,0
3.75,1,1,0,0,2,0
3.79,1,1.165,0,0,0,0
4,0,1,0,0,1000,0
4,0,5.75,0,1,0,0
4,1,12.5,0,0,0,0
4,1,5,0,0,0,0
4,1,3,0,0,0,0
4,0,1.5,0,0,0,0
4,0,0.085,0,0,0,0
4.085,1,0.04,0,0,100,0
4.085,1,0.415,0,0,0,0
4.125,0,0.04,0,0,100,0
4.165,1,0.085,0,0,0,0
4.25,1,3.5,0,0,50,0
4.25,0,5,0,0,4,0
4.415,1,0.125,0,0,0,0
4.46,1,0.25,0,0,0,0
4.5,0,2.5,0,0,1210,0
4.5,1,1,0,0,6,0
4.5,1,1,0,0,0,0
4.585,1,1,0,0,0,0
4.71,1,0,0,0,0,0
4.75,1,2,1,1,68,0
5,1,0.375,1,1,38,0
5,1,0,1,1,1,0
5,1,13.5,0,0,0,0
5,0,8.5,0,0,0,0
5,1,2.25,0,0,0,0
5,1,0.21,0,0,0,0
5,0,0,0,0,0,0
5.085,0,0.29,0,0,184,0
5.085,0,1.085,0,0,0,0
5.29,1,0.375,0,1,0,0
5.415,1,0.29,0,0,484,0
5.5,1,5,0,0,687,0
5.5,1,0.54,0,0,340,0
5.5,1,5.5,0,0,0,0
5.5,0,1.5,0,0,0,0
5.71,1,0.54,0,0,0,0
5.835,1,5.5,0,0,150,0
6,1,1.25,0,0,0,0
6,1,0,0,0,0,0
6.165,1,0.165,0,0,1000,0
6.5,1,1,0,0,228,0
6.5,1,0.125,0,0,100,0
6.5,1,3.085,0,0,0,0
6.5,1,0.125,0,0,0,0
6.75,0,0.04,0,0,0,0
7,1,0,0,0,12,0
7,1,11.5,1,2,5,0
7,0,1.625,0,0,2,0
7,1,3,0,0,0,0
7,1,1,0,0,0,0
7,1,0.5,0,0,0,0
7,1,0.165,0,0,0,0
7.08,1,6.75,1,1,50,0
7.25,1,0.04,1,1,1,0
7.5,1,1.585,0,0,0,0
7.625,1,0.125,1,1,160,0
7.835,0,0.165,0,0,0,0
8.125,0,0.165,1,1,18,0
8.5,1,1.75,1,2,990,0
8.5,1,0.165,0,0,351,0
9,1,4,1,1,6,0
9,1,0.25,0,0,0,0
9,1,0.085,0,0,0,0
9.5,1,1.75,1,2,10,0
9.54,1,0.04,0,0,1000,0
9.585,1,0.79,0,0,350,0
9.75,1,0.25,0,0,0,0
10,1,0.415,0,0,42,0
10,1,1,1,1,1,0
10,1,0.165,1,1,1,0
10,0,0.835,0,0,0,0
10,0,0.165,0,0,0,0
10.085,0,1.25,0,0,0,0
10.125,0,0.125,0,0,0,0
10.21,1,0,0,0,50,0
10.25,1,1.085,0,0,13,0
10.29,1,0.415,0,0,0,0
10.415,0,0.125,0,0,375,0
10.5,0,0,0,0,32,0
10.665,1,0.085,1,2,3,0
10.915,1,0.585,1,1,7,0
11,0,4.5,0,0,0,0
11,0,3,0,0,0,0
11,0,1.5,0,0,0,0
11.045,1,2,0,0,0,0
11.46,1,1.585,0,0,1212,0
11.5,0,1.5,0,0,4000,0
11.5,1,0.5,0,0,68,0
11.5,0,3,0,0,16,0
11.5,1,0.415,0,0,0,0
11.665,1,0.085,0,0,5,0
11.75,1,0.25,0,0,0,0
12,1,2.25,1,1,5,0
12,1,2.085,0,0,0,0
12.125,1,3.335,1,1,173,0
12.5,1,1,0,0,1062,0
12.5,0,1.25,0,0,17,0
12.5,1,0.875,0,0,0,0
12.5,1,0.25,0,0,0,0
12.625,1,0.125,1,1,5552,0
12.75,0,5,0,0,0,0
12.835,1,0.5,0,0,2,0
13,1,0,0,0,1110,0
13,1,0.5,0,0,0,0
13.335,0,0.04,0,0,475,0
13.5,0,2,1,1,1,0
13.5,0,0,0,0,0,0
13.665,1,1.5,0,0,1,0
14,0,0,1,1,1,0
14.5,1,0.125,0,0,286,0
14.585,1,0,0,0,0,0
15.5,1,0,1,3,130,0
15.5,1,0.5,0,0,0,0
16.5,0,4,0,0,0,0
18.125,1,0.085,0,0,3552,0
19,0,0.04,1,1,351,0
19,1,0,0,1,0,0
25.21,1,0.21,1,1,90,0
26.335,0,0,0,0,0,0
